Chỉ tiêu,Date,Value
GDP theo giá hiện hành,Quý 1/2013,100.0
GDP theo giá hiện hành,Quý 2/2013,121.47
GDP theo giá hiện hành,6 tháng/2013,221.47
GDP theo giá hiện hành,Quý 3/2013,132.63
GDP theo giá hiện hành,9 tháng/2013,354.1
GDP theo giá hiện hành,Quý 4/2013,170.17
GDP theo giá hiện hành,Quý 1/2014,110.66
GDP theo giá hiện hành,Quý 2/2014,133.34
GDP theo giá hiện hành,6 tháng/2014,244.0
GDP theo giá hiện hành,Quý 3/2014,146.97
GDP theo giá hiện hành,9 tháng/2014,390.97
GDP theo giá hiện hành,Quý 4/2014,185.01
GDP theo giá hiện hành,Quý 1/2015,118.32
GDP theo giá hiện hành,Quý 2/2015,141.92
GDP theo giá hiện hành,6 tháng/2015,260.24
GDP theo giá hiện hành,Quý 3/2015,156.83
GDP theo giá hiện hành,9 tháng/2015,417.07
GDP theo giá hiện hành,Quý 4/2015,196.22
GDP theo giá hiện hành,Quý 1/2016,124.38
GDP theo giá hiện hành,Quý 2/2016,150.59
GDP theo giá hiện hành,6 tháng/2016,274.97
GDP theo giá hiện hành,Quý 3/2016,169.37
GDP theo giá hiện hành,9 tháng/2016,444.34
GDP theo giá hiện hành,Quý 4/2016,
GDP theo giá hiện hành,Quý 1/2017,136.27
GDP theo giá hiện hành,Quý 2/2017,164.88
GDP theo giá hiện hành,6 tháng/2017,301.14
GDP theo giá hiện hành,Quý 3/2017,186.12
GDP theo giá hiện hành,9 tháng/2017,487.26
GDP theo giá hiện hành,Quý 4/2017,245.24
GDP theo giá hiện hành,Quý 1/2018,150.35
GDP theo giá hiện hành,Quý 2/2018,206.86
GDP theo giá hiện hành,6 tháng/2018,332.05
GDP theo giá hiện hành,Quý 3/2018,181.7
GDP theo giá hiện hành,9 tháng/2018,539.02
GDP theo giá hiện hành,Quý 4/2018,270.88
GDP theo giá hiện hành,Quý 1/2019,163.34
GDP theo giá hiện hành,Quý 2/2019,199.94
GDP theo giá hiện hành,6 tháng/2019,363.47
GDP theo giá hiện hành,Quý 3/2019,225.13
GDP theo giá hiện hành,9 tháng/2019,588.63
GDP theo giá hiện hành,Quý 4/2019,294.13
GDP theo giá hiện hành,Quý 1/2020,173.8
GDP theo giá hiện hành,Quý 2/2020,202.29
GDP theo giá hiện hành,6 tháng/2020,376.86
GDP theo giá hiện hành,Quý 3/2020,233.09
GDP theo giá hiện hành,9 tháng/2020,609.94
GDP theo giá hiện hành,Quý 4/2020,310.3
GDP theo giá hiện hành,Quý 1/2021,280.16
GDP theo giá hiện hành,Quý 2/2021,299.92
GDP theo giá hiện hành,6 tháng/2021,585.6
GDP theo giá hiện hành,Quý 3/2021,290.63
GDP theo giá hiện hành,9 tháng/2021,875.46
GDP theo giá hiện hành,Quý 4/2021,350.9
GDP theo giá hiện hành,Quý 1/2022,311.96
GDP theo giá hiện hành,Quý 2/2022,335.25
GDP theo giá hiện hành,6 tháng/2022,647.89
GDP theo giá hiện hành,Quý 3/2022,347.12
GDP theo giá hiện hành,9 tháng/2022,1000.35
GDP theo giá hiện hành,Quý 4/2022,390.41
GDP theo giá hiện hành,Quý 1/2023,336.55
GDP theo giá hiện hành,Quý 2/2023,357.58
GDP theo giá hiện hành,6 tháng/2023,693.54
GDP theo giá hiện hành,Quý 3/2023,371.61
GDP theo giá hiện hành,9 tháng/2023,1063.1
GDP theo giá hiện hành,Quý 4/2023,427.28
GDP theo giá hiện hành,Quý 1/2024,367.59
GDP theo giá hiện hành,Quý 2/2024,398.96
